,PO_Number,PO_Line_Number,Supplier,Vendor_number,Material,Material_Group,PO_Document_Date,Scheduled_relevant_delivery_date,Posting_Date,days_late,expected_lead_time,error_code,material_order_history,avg_material_late,supplier_material_order_history,avg_supplier_material_late,supplier_total_order_history,avg_supplier_general_late,number_line_items,avg_MOQ,avg_unit_price,avg_min_price,delivery_month,dayofweek,time,delivery_season,Material Description,Material Group Description,Invoice ($),Invoice Qty,Purchase Order $,Purchase Order Qty
10,4508879999,8,ROYAL TECHNOLOGIES CORPORATION,556264,1025345001-6059,073,2019-02-22,2019-03-01 00:00:00,2019-02-28 00:00:00,-1.0,7.0,,31199.0,-0.5016059436135354,30055.0,-0.3957433992571027,30067.0,-0.3946743384738902,17,868.6581196581196,3.905899031339037,966.555354700855,Mar,Friday,,Spring,"PLATE - ARM, SLIDE",Inj.Molded Plastics,38.0,200.0,38.0,200.0
11,4508856545,1,JEMNI INC,569547,MRO140914,X709,2019-02-11,2019-03-01 00:00:00,2019-03-13 00:00:00,12.0,18.0,U,214.0,-2.808411214953271,89.0,3.02247191011236,668.0,0.3740573152337858,1,2.875,204.98749583333333,21.788999999999994,Mar,Friday,,Spring,"HDPE CUTTING FILM, 72""x3038', OLD GERBER",Operating Supplies,404.0,2.0,404.0,2.0
12,4508738175,2,ALL METAL DESIGNS INC,522182,MRO195803,X714,2018-12-07,2019-03-01 00:00:00,2019-03-05 00:00:00,4.0,84.0,,321.0,-6.476635514018692,27.0,4.037037037037037,28.0,4.035714285714286,1,0.4402730375426621,517.7274402730379,23.568771331058024,Mar,Friday,,Spring,,,,,,
13,4508853796,1,MJ FOLEY CO,503976,,,2019-02-08,2019-03-01 00:00:00,2019-02-27 00:00:00,-2.0,21.0,,,,,,,,2,,,,Mar,Friday,,Spring,,,,,,
14,4508737436,21,ALL METAL DESIGNS INC,522182,MRO195892,X714,2018-12-07,2019-03-01 00:00:00,2019-03-05 00:00:00,4.0,84.0,,321.0,-6.476635514018692,27.0,4.037037037037037,28.0,4.035714285714286,25,0.4402730375426621,517.7274402730379,23.568771331058024,Mar,Friday,,Spring,,,,,,
15,4508768636,1,ERVINS GROUP LLC,542319,1071767001,014,2018-12-21,2019-03-01 00:00:00,2019-02-27 00:00:00,-2.0,70.0,,641.0,2.0,215.0,-0.5560975609756098,610.0,-0.6379310344827587,1,240.61702127659572,7.340744680851063,2380.567659574468,Mar,Friday,,Spring,"THREAD - MEMBRANE, BACK",Seating Uph'y Matl's,19.85,1.0,19.85,1.0
16,4508737436,25,ALL METAL DESIGNS INC,522182,MRO199903,X714,2018-12-07,2019-03-01 00:00:00,2019-03-05 00:00:00,4.0,84.0,,321.0,-6.476635514018692,27.0,4.037037037037037,28.0,4.035714285714286,25,0.4402730375426621,517.7274402730379,23.568771331058024,Mar,Friday,,Spring,,,,,,
17,4508891704,1,SHORELINE CONTAINER LLC,522865,920107120,013,2019-02-28,2019-03-01 00:00:00,2019-03-01 00:00:00,0.0,1.0,,6109.0,0.2558522914606,5449.0,0.2723915050784857,5449.0,0.2723915050784857,1,31012.938775510203,17.964587040816326,11054.708675510205,Mar,Friday,,Spring,"CORR,HSC,14.75X5.25X12.375,32C,D/C,SHOE",Packaging Materials,315.6,400.0,315.6,400.0
18,4508737436,5,ALL METAL DESIGNS INC,522182,MRO195793,X714,2018-12-07,2019-03-01 00:00:00,2019-03-05 00:00:00,4.0,84.0,,321.0,-6.476635514018692,27.0,4.037037037037037,28.0,4.035714285714286,25,0.4402730375426621,517.7274402730379,23.568771331058024,Mar,Friday,,Spring,,,,,,
19,4508889189,2,JEMNI INC,569547,930201116,013,2019-02-27,2019-03-01 00:00:00,2019-03-01 00:00:00,0.0,2.0,,6109.0,0.2558522914606,570.0,-0.0442477876106194,668.0,0.3740573152337858,2,31012.938775510203,17.964587040816326,11054.708675510205,Mar,Friday,,Spring,"PE,SHEET,18X6X0.063, BLK FOAM PERF ON RL",Packaging Materials,267.14,3000.0,267.14,1.0
20,4508879999,17,ROYAL TECHNOLOGIES CORPORATION,556264,1071601001-6205,073,2019-02-22,2019-03-01 00:00:00,2019-02-28 00:00:00,-1.0,7.0,,31199.0,-0.5016059436135354,30055.0,-0.3957433992571027,30067.0,-0.3946743384738902,17,868.6581196581196,3.905899031339037,966.555354700855,Mar,Friday,,Spring,"LUMBAR ASSEMBLY, BLACK, 6205",Inj.Molded Plastics,1350.8,440.0,1350.8,440.0
21,4508737436,9,ALL METAL DESIGNS INC,522182,MRO195797,X714,2018-12-07,2019-03-01 00:00:00,2019-03-05 00:00:00,4.0,84.0,,321.0,-6.476635514018692,27.0,4.037037037037037,28.0,4.035714285714286,25,0.4402730375426621,517.7274402730379,23.568771331058024,Mar,Friday,,Spring,,,,,,
22,4508781062,1,DESIGNTEX  GROUP INC,501967,V_00029491-801,060,2018-12-29,2019-03-01 00:00:00,2019-01-29 00:00:00,-31.0,62.0,,3425.0,-3.849768600925597,2123.0,-1.982564679415073,3888.0,-3.2822155237377544,1,0.0,48.02003647268624,0.0,Mar,Friday,,Spring,HASHTAG - SILVER,Graded In Fabrics,123.26,4.75,123.26,4.75
23,4508889183,4,MANSCO A DIVISION OF FASTENAL,529485,1025350001,018,2019-02-27,2019-03-01 00:00:00,2019-03-01 00:00:00,0.0,2.0,,11390.0,-2.278994108854304,11388.0,-2.2791945128385507,11866.0,-2.288487508440243,10,2678.5197132616486,1.9884884587813616,347.43394928315416,Mar,Friday,,Spring,ARM - WASHER STEEL,Fasteners,160.53,4000.0,140.0,4000.0
24,4508737436,13,ALL METAL DESIGNS INC,522182,MRO195801,X714,2018-12-07,2019-03-01 00:00:00,2019-03-05 00:00:00,4.0,84.0,,321.0,-6.476635514018692,27.0,4.037037037037037,28.0,4.035714285714286,25,0.4402730375426621,517.7274402730379,23.568771331058024,Mar,Friday,,Spring,,,,,,
25,4508889183,8,MANSCO A DIVISION OF FASTENAL,529485,21461002,018,2019-02-27,2019-03-01 00:00:00,2019-03-01 00:00:00,0.0,2.0,,11390.0,-2.278994108854304,11388.0,-2.2791945128385507,11866.0,-2.288487508440243,10,2678.5197132616486,1.9884884587813616,347.43394928315416,Mar,Friday,,Spring,"SCREW - TPG,BTNHD,THREAD FORMING,M6X12",Fasteners,43.57,1000.0,38.0,1000.0
26,4508737436,17,ALL METAL DESIGNS INC,522182,MRO195888,X714,2018-12-07,2019-03-01 00:00:00,2019-03-05 00:00:00,4.0,84.0,,321.0,-6.476635514018692,27.0,4.037037037037037,28.0,4.035714285714286,25,0.4402730375426621,517.7274402730379,23.568771331058024,Mar,Friday,,Spring,,,,,,
27,4508881498,3,KEYENCE CORP OF AMERICA,510984,,,2019-02-22,2019-03-01 00:00:00,2019-02-25 00:00:00,-4.0,7.0,,,,,,,,3,,,,Mar,Friday,,Spring,,,,,,
28,4508879999,5,ROYAL TECHNOLOGIES CORPORATION,556264,1025206001-6205,073,2019-02-22,2019-03-01 00:00:00,2019-02-28 00:00:00,-1.0,7.0,,31199.0,-0.5016059436135354,30055.0,-0.3957433992571027,30067.0,-0.3946743384738902,17,868.6581196581196,3.905899031339037,966.555354700855,Mar,Friday,,Spring,ARM - TRIGGER,Inj.Molded Plastics,60.0,600.0,60.0,600.0
29,4508879999,9,ROYAL TECHNOLOGIES CORPORATION,556264,1025345001-6205,073,2019-02-22,2019-03-01 00:00:00,2019-02-28 00:00:00,-1.0,7.0,,31199.0,-0.5016059436135354,30055.0,-0.3957433992571027,30067.0,-0.3946743384738902,17,868.6581196581196,3.905899031339037,966.555354700855,Mar,Friday,,Spring,"PLATE - ARM, SLIDE",Inj.Molded Plastics,160.0,1000.0,160.0,1000.0
30,4508737436,1,ALL METAL DESIGNS INC,522182,MRO195789,X714,2018-12-07,2019-03-01 00:00:00,2019-03-05 00:00:00,4.0,84.0,,321.0,-6.476635514018692,27.0,4.037037037037037,28.0,4.035714285714286,25,0.4402730375426621,517.7274402730379,23.568771331058024,Mar,Friday,,Spring,,,,,,
31,4508879999,13,ROYAL TECHNOLOGIES CORPORATION,556264,1027952001-6059,073,2019-02-22,2019-03-01 00:00:00,2019-02-28 00:00:00,-1.0,7.0,,31199.0,-0.5016059436135354,30055.0,-0.3957433992571027,30067.0,-0.3946743384738902,17,868.6581196581196,3.905899031339037,966.555354700855,Mar,Friday,,Spring,"COVER - BACK, FRAME, LOWER STERLING",Inj.Molded Plastics,180.18,462.0,180.18,462.0
32,4508750826,1,B AND V MECHANICAL INC,567926,V_00034826-7,057,2018-12-13,2019-03-01 00:00:00,2019-02-27 00:00:00,-2.0,78.0,,2332.0,-6.687590187590188,91.0,-0.7763157894736842,732.0,-3.2053742802303264,1,0.0002684083385523,52.35873691509147,0.0053317079717276,Mar,Friday,,Spring,BLAZER QUILT HOURGLASS - BANBRIDGE,Sp'l Uph'y Matl's,96.25,1.75,96.25,1.75
33,4508778722,1,DESIGNTEX  GROUP INC,501967,V_00033455-102,057,2018-12-28,2019-03-01 00:00:00,2019-01-29 00:00:00,-31.0,63.0,,2332.0,-6.687590187590188,1703.0,-5.949693251533742,3888.0,-3.2822155237377544,1,0.0002684083385523,52.35873691509147,0.0053317079717276,Mar,Friday,,Spring,UNION CLOTH - LIGHT TAUPE,Sp'l Uph'y Matl's,168.75,6.25,168.75,6.25
34,4508867024,1,WEST MICHIGAN COATING LLC,558725,1025346001-9160,012,2019-02-15,2019-03-01 00:00:00,2019-02-27 00:00:00,-2.0,14.0,,1595.0,-0.1743357096565133,531.0,0.5038461538461538,531.0,0.5038461538461538,1,624.7692307692307,0.5800307692307693,165.65761538461538,Mar,Friday,,Spring,ARM - PLATE,Plating/Sub Finisher,100.0,1000.0,100.0,1000.0
35,4508877883,1,SAMHONGSA CO LTD,557704,1036670001,030,2019-02-21,2019-03-01 00:00:00,2019-03-04 00:00:00,3.0,8.0,I,861.0,0.7333333333333333,861.0,0.7333333333333333,861.0,0.7333333333333333,1,81.32558139534883,11.556511627906977,587.584418604651,Mar,Friday,,Spring,"CYLINDER - PNEU, STD",Gas/Hydr'c Clndr's,3670.8,760.0,3670.8,760.0
36,4508879999,1,ROYAL TECHNOLOGIES CORPORATION,556264,1024376001-6205,073,2019-02-22,2019-03-01 00:00:00,2019-02-28 00:00:00,-1.0,7.0,,31199.0,-0.5016059436135354,30055.0,-0.3957433992571027,30067.0,-0.3946743384738902,17,868.6581196581196,3.905899031339037,966.555354700855,Mar,Friday,,Spring,"ARM - CAP, OVERMOLD",Inj.Molded Plastics,1430.4,960.0,1430.4,960.0
37,4508880493,1,SHORELINE CONTAINER LLC,522865,920107301,013,2019-02-22,2019-03-01 00:00:00,,,7.0,,6109.0,0.2558522914606,5449.0,0.2723915050784857,5449.0,0.2723915050784857,1,31012.938775510203,17.964587040816326,11054.708675510205,Mar,Friday,,Spring,,,,,,
38,4508853796,2,MJ FOLEY CO,503976,,,2019-02-08,2019-03-01 00:00:00,2019-02-27 00:00:00,-2.0,21.0,,,,,,,,2,,,,Mar,Friday,,Spring,,,,,,
39,4508873183,1,JEMNI INC,569547,MRO140916,X709,2019-02-19,2019-03-01 00:00:00,2019-03-05 00:00:00,4.0,10.0,U,214.0,-2.808411214953271,89.0,3.02247191011236,668.0,0.3740573152337858,1,2.875,204.98749583333333,21.788999999999994,Mar,Friday,,Spring,"PERFORATED UNDERLAY, 770'8"", 72"", NEW",Operating Supplies,308.0,4.0,308.0,4.0
40,4508856570,2,JEMNI INC,569547,MRO140917,X709,2019-02-11,2019-03-01 00:00:00,2019-03-07 00:00:00,6.0,18.0,,214.0,-2.808411214953271,89.0,3.02247191011236,668.0,0.3740573152337858,2,2.875,204.98749583333333,21.788999999999994,Mar,Friday,,Spring,,,,,,
41,4508737436,26,ALL METAL DESIGNS INC,522182,MRO199904,X714,2018-12-07,2019-03-01 00:00:00,2019-03-05 00:00:00,4.0,84.0,,321.0,-6.476635514018692,27.0,4.037037037037037,28.0,4.035714285714286,25,0.4402730375426621,517.7274402730379,23.568771331058024,Mar,Friday,,Spring,,,,,,
42,4508867025,1,INTEX TECHNOLOGIES LLC,566041,1072524001,017,2019-02-15,2019-03-01 00:00:00,2019-02-28 00:00:00,-1.0,14.0,,2291.0,-0.3797752808988764,410.0,-0.9502487562189056,410.0,-0.9502487562189056,2,829.0533333333333,40.017756,1095.8025333333337,Mar,Friday,,Spring,"CUSHION - ARM, CAP, LH",Urethane Products,76.93,128.0,76.93,128.0
43,4508889183,5,MANSCO A DIVISION OF FASTENAL,529485,191445005,041,2019-02-27,2019-03-01 00:00:00,2019-03-01 00:00:00,0.0,2.0,,481.0,-2.299163179916318,477.0,-2.5157894736842104,11866.0,-2.288487508440243,10,771.2941176470588,1.295464705882353,1391.648,Mar,Friday,,Spring,"SCREW - TPG, RDH, WSHR, M5 X 2.25 X 6.5",Hardware,149.07,2000.0,130.0,2000.0
44,4508737436,14,ALL METAL DESIGNS INC,522182,MRO195802,X714,2018-12-07,2019-03-01 00:00:00,2019-03-05 00:00:00,4.0,84.0,,321.0,-6.476635514018692,27.0,4.037037037037037,28.0,4.035714285714286,25,0.4402730375426621,517.7274402730379,23.568771331058024,Mar,Friday,,Spring,,,,,,
45,4508852677,1,MANSCO A DIVISION OF FASTENAL,529485,1027357001,018,2019-02-08,2019-03-01 00:00:00,2019-03-04 00:00:00,3.0,21.0,A,11390.0,-2.278994108854304,11388.0,-2.2791945128385507,11866.0,-2.288487508440243,1,2678.5197132616486,1.9884884587813616,347.43394928315416,Mar,Friday,,Spring,"SPRING - SEAT, LEVER",Fasteners,57.35,500.0,57.35,500.0
46,4508889183,9,MANSCO A DIVISION OF FASTENAL,529485,465C4901,018,2019-02-27,2019-03-01 00:00:00,2019-03-01 00:00:00,0.0,2.0,,11390.0,-2.278994108854304,11388.0,-2.2791945128385507,11866.0,-2.288487508440243,10,2678.5197132616486,1.9884884587813616,347.43394928315416,Mar,Friday,,Spring,"SCREW - TPG, M5-2.24 X 10",Fasteners,65.93,2500.0,57.5,2500.0
47,4508737436,18,ALL METAL DESIGNS INC,522182,MRO195889,X714,2018-12-07,2019-03-01 00:00:00,2019-03-05 00:00:00,4.0,84.0,,321.0,-6.476635514018692,27.0,4.037037037037037,28.0,4.035714285714286,25,0.4402730375426621,517.7274402730379,23.568771331058024,Mar,Friday,,Spring,,,,,,
48,4508737436,22,ALL METAL DESIGNS INC,522182,MRO195893,X714,2018-12-07,2019-03-01 00:00:00,2019-03-05 00:00:00,4.0,84.0,,321.0,-6.476635514018692,27.0,4.037037037037037,28.0,4.035714285714286,25,0.4402730375426621,517.7274402730379,23.568771331058024,Mar,Friday,,Spring,,,,,,
49,4508879999,10,ROYAL TECHNOLOGIES CORPORATION,556264,1027948001-6205,073,2019-02-22,2019-03-01 00:00:00,2019-02-28 00:00:00,-1.0,7.0,,31199.0,-0.5016059436135354,30055.0,-0.3957433992571027,30067.0,-0.3946743384738902,17,868.6581196581196,3.905899031339037,966.555354700855,Mar,Friday,,Spring,CHAIR - BACK BLACK,Inj.Molded Plastics,9007.4,580.0,9007.4,580.0
50,4508737436,2,ALL METAL DESIGNS INC,522182,MRO195790,X714,2018-12-07,2019-03-01 00:00:00,2019-03-05 00:00:00,4.0,84.0,,321.0,-6.476635514018692,27.0,4.037037037037037,28.0,4.035714285714286,25,0.4402730375426621,517.7274402730379,23.568771331058024,Mar,Friday,,Spring,,,,,,
51,4508777742,1,DESIGNTEX  GROUP INC,501967,V_00029491-801,060,2018-12-28,2019-03-01 00:00:00,2019-01-29 00:00:00,-31.0,63.0,,3425.0,-3.849768600925597,2123.0,-1.982564679415073,3888.0,-3.2822155237377544,1,0.0,48.02003647268624,0.0,Mar,Friday,,Spring,HASHTAG - SILVER,Graded In Fabrics,395.74,15.25,395.74,15.25
52,4508879999,14,ROYAL TECHNOLOGIES CORPORATION,556264,1027952001-6205,073,2019-02-22,2019-03-01 00:00:00,2019-02-28 00:00:00,-1.0,7.0,,31199.0,-0.5016059436135354,30055.0,-0.3957433992571027,30067.0,-0.3946743384738902,17,868.6581196581196,3.905899031339037,966.555354700855,Mar,Friday,,Spring,"COVER - BACK, FRAME, LOWER BLACK",Inj.Molded Plastics,286.44,924.0,286.44,924.0
53,4508737436,6,ALL METAL DESIGNS INC,522182,MRO195794,X714,2018-12-07,2019-03-01 00:00:00,2019-03-05 00:00:00,4.0,84.0,,321.0,-6.476635514018692,27.0,4.037037037037037,28.0,4.035714285714286,25,0.4402730375426621,517.7274402730379,23.568771331058024,Mar,Friday,,Spring,,,,,,
54,4508889183,1,MANSCO A DIVISION OF FASTENAL,529485,1025347001,018,2019-02-27,2019-03-01 00:00:00,2019-03-01 00:00:00,0.0,2.0,,11390.0,-2.278994108854304,11388.0,-2.2791945128385507,11866.0,-2.288487508440243,10,2678.5197132616486,1.9884884587813616,347.43394928315416,Mar,Friday,,Spring,"RIVET - ARM, SHLDR, SPECIAL",Fasteners,369.87,4800.0,322.56,4800.0
55,4508889617,1,JEMNI INC,569547,930202091,013,2019-02-27,2019-03-01 00:00:00,2019-03-01 00:00:00,0.0,2.0,,6109.0,0.2558522914606,570.0,-0.0442477876106194,668.0,0.3740573152337858,1,31012.938775510203,17.964587040816326,11054.708675510205,Mar,Friday,,Spring,"POLY,STRETCH,1500X18X0.0008,80GA,HAND ST",Packaging Materials,65.27,6000.0,65.27,4.0
56,4508737436,10,ALL METAL DESIGNS INC,522182,MRO195798,X714,2018-12-07,2019-03-01 00:00:00,2019-03-05 00:00:00,4.0,84.0,,321.0,-6.476635514018692,27.0,4.037037037037037,28.0,4.035714285714286,25,0.4402730375426621,517.7274402730379,23.568771331058024,Mar,Friday,,Spring,,,,,,
57,4508864337,1,MEDWAY PLASTICS CORP,551948,1026958001-6205,073,2019-02-14,2019-03-01 00:00:00,2019-03-04 00:00:00,3.0,15.0,I,31199.0,-0.5016059436135354,736.0,-1.0,736.0,-1.0,1,868.6581196581196,3.905899031339037,966.555354700855,Mar,Friday,,Spring,BASE - PLASTIC BLACK,Inj.Molded Plastics,6444.0,720.0,6444.0,720.0
58,4508891282,1,SHORELINE CONTAINER LLC,522865,920107304,013,2019-02-28,2019-03-01 00:00:00,2019-03-01 00:00:00,0.0,1.0,,6109.0,0.2558522914606,5449.0,0.2723915050784857,5449.0,0.2723915050784857,1,31012.938775510203,17.964587040816326,11054.708675510205,Mar,Friday,,Spring,"CORR,RSC,30.5x28.875x13,275C,SHORTFLAP",Packaging Materials,672.25,125.0,672.25,125.0
59,4508879999,2,ROYAL TECHNOLOGIES CORPORATION,556264,1024790001-6059,073,2019-02-22,2019-03-01 00:00:00,2019-02-28 00:00:00,-1.0,7.0,,31199.0,-0.5016059436135354,30055.0,-0.3957433992571027,30067.0,-0.3946743384738902,17,868.6581196581196,3.905899031339037,966.555354700855,Mar,Friday,,Spring,"ARM - STALK ADJUSTABLE, LH",Inj.Molded Plastics,880.2,540.0,880.2,540.0
60,4508879999,6,ROYAL TECHNOLOGIES CORPORATION,556264,1025207001-6205,073,2019-02-22,2019-03-01 00:00:00,2019-02-28 00:00:00,-1.0,7.0,,31199.0,-0.5016059436135354,30055.0,-0.3957433992571027,30067.0,-0.3946743384738902,17,868.6581196581196,3.905899031339037,966.555354700855,Mar,Friday,,Spring,BUSHING - ARM BLACK,Inj.Molded Plastics,204.0,600.0,204.0,600.0
61,4508889618,1,JEMNI INC,569547,930202091,013,2019-02-27,2019-03-01 00:00:00,2019-03-01 00:00:00,0.0,2.0,,6109.0,0.2558522914606,570.0,-0.0442477876106194,668.0,0.3740573152337858,1,31012.938775510203,17.964587040816326,11054.708675510205,Mar,Friday,,Spring,"POLY,STRETCH,1500X18X0.0008,80GA,HAND ST",Packaging Materials,65.27,6000.0,65.27,4.0
62,4508850106,1,ANCHOR WIPING CLOTH COMPANY,500288,1025208001,048,2019-02-07,2019-03-01 00:00:00,2019-02-28 00:00:00,-1.0,22.0,,1032.0,-1.496571988246817,968.0,-1.4613778705636744,968.0,-1.4613778705636744,2,7469.578947368421,0.5029384210526316,3216.478863157895,Mar,Friday,,Spring,SPRING - ARM,Springs,345.0,5000.0,345.0,5000.0
63,4508883978,1,B AND V MECHANICAL INC,567926,V_000379243,060,2019-02-25,2019-03-01 00:00:00,2019-03-05 00:00:00,4.0,4.0,I,3425.0,-3.849768600925597,641.0,-3.620224719101123,732.0,-3.2053742802303264,1,0.0,48.02003647268624,0.0,Mar,Friday,,Spring,,,,,,
64,4508891703,1,SHORELINE CONTAINER LLC,522865,920107120,013,2019-02-28,2019-03-01 00:00:00,2019-03-01 00:00:00,0.0,1.0,,6109.0,0.2558522914606,5449.0,0.2723915050784857,5449.0,0.2723915050784857,1,31012.938775510203,17.964587040816326,11054.708675510205,Mar,Friday,,Spring,"CORR,HSC,14.75X5.25X12.375,32C,D/C,SHOE",Packaging Materials,315.6,400.0,315.6,400.0
65,4508776829,1,DESIGNTEX  GROUP INC,501967,V_00033455-102,057,2018-12-27,2019-03-01 00:00:00,2019-01-29 00:00:00,-31.0,64.0,,2332.0,-6.687590187590188,1703.0,-5.949693251533742,3888.0,-3.2822155237377544,1,0.0002684083385523,52.35873691509147,0.0053317079717276,Mar,Friday,,Spring,UNION CLOTH - LIGHT TAUPE,Sp'l Uph'y Matl's,978.75,36.25,978.75,36.25
66,4508889183,10,MANSCO A DIVISION OF FASTENAL,529485,865246501,018,2019-02-27,2019-03-01 00:00:00,2019-03-01 00:00:00,0.0,2.0,,11390.0,-2.278994108854304,11388.0,-2.2791945128385507,11866.0,-2.288487508440243,10,2678.5197132616486,1.9884884587813616,347.43394928315416,Mar,Friday,,Spring,"SPRING - COMPRESSION, WAVE, SHIM END",Fasteners,851.04,6000.0,742.2,6000.0
67,4508737436,19,ALL METAL DESIGNS INC,522182,MRO195890,X714,2018-12-07,2019-03-01 00:00:00,2019-03-05 00:00:00,4.0,84.0,,321.0,-6.476635514018692,27.0,4.037037037037037,28.0,4.035714285714286,25,0.4402730375426621,517.7274402730379,23.568771331058024,Mar,Friday,,Spring,,,,,,
68,4508737436,23,ALL METAL DESIGNS INC,522182,MRO199901,X713,2018-12-07,2019-03-01 00:00:00,2019-03-05 00:00:00,4.0,84.0,,66.0,-8.621212121212121,1.0,4.0,28.0,4.035714285714286,25,0.360655737704918,113.09377049180328,9.534754098360656,Mar,Friday,,Spring,,,,,,
69,4508867025,2,INTEX TECHNOLOGIES LLC,566041,1072524002,017,2019-02-15,2019-03-01 00:00:00,2019-02-28 00:00:00,-1.0,14.0,,2291.0,-0.3797752808988764,410.0,-0.9502487562189056,410.0,-0.9502487562189056,2,829.0533333333333,40.017756,1095.8025333333337,Mar,Friday,,Spring,"CUSHION - ARM, CAP, RH",Urethane Products,76.93,128.0,76.93,128.0
70,4508737436,7,ALL METAL DESIGNS INC,522182,MRO195795,X714,2018-12-07,2019-03-01 00:00:00,2019-03-05 00:00:00,4.0,84.0,,321.0,-6.476635514018692,27.0,4.037037037037037,28.0,4.035714285714286,25,0.4402730375426621,517.7274402730379,23.568771331058024,Mar,Friday,,Spring,,,,,,
71,4508889183,2,MANSCO A DIVISION OF FASTENAL,529485,1025348001,018,2019-02-27,2019-03-01 00:00:00,2019-03-01 00:00:00,0.0,2.0,,11390.0,-2.278994108854304,11388.0,-2.2791945128385507,11866.0,-2.288487508440243,10,2678.5197132616486,1.9884884587813616,347.43394928315416,Mar,Friday,,Spring,WASHER - ACETAL,Fasteners,52.29,4000.0,45.6,4000.0
